,gameid,league,blueteam,redteam,bluetop,bluejungle,bluemid,blueadc,bluesupport,redtop,redjungle,redmid,redadc,redsupport,result
26,5661-7266,LPL,Victory Five,EDward Gaming,Leblanc,LeeSin,Lucian,MissFortune,Nautilus,Renekton,Taliyah,Lissandra,Senna,Braum,0
27,5662-7264,LPL,Rogue Warriors,Suning,Aatrox,Gragas,Ryze,MissFortune,Leona,Mordekaiser,LeeSin,Zoe,Senna,TahmKench,1
28,5662-7267,LPL,Suning,Rogue Warriors,Mordekaiser,LeeSin,Rumble,MissFortune,Leona,Renekton,Taliyah,Aatrox,Lucian,Rakan,0
29,5663-7268,LPL,FunPlus Phoenix,eStar,Renekton,RekSai,Ryze,Aphelios,Nautilus,Rumble,JarvanIV,Cassiopeia,Senna,Thresh,0
30,5663-7269,LPL,FunPlus Phoenix,eStar,Fiora,LeeSin,Nautilus,Aphelios,Braum,Mordekaiser,Qiyana,Cassiopeia,MissFortune,Leona,1
31,5663-7270,LPL,eStar,FunPlus Phoenix,Kennen,JarvanIV,Rumble,MissFortune,Leona,Camille,Qiyana,Mordekaiser,Kaisa,Nautilus,1
32,5664-7277,LPL,LNG Esports,Top Esports,Sett,RekSai,Rumble,Aphelios,Thresh,Vladimir,Gragas,Lucian,MissFortune,Nautilus,0
33,5664-7271,LPL,Top Esports,LNG Esports,Mordekaiser,LeeSin,Zoe,Senna,Rakan,Ornn,Olaf,Rumble,MissFortune,Braum,1
34,5665-7276,LPL,JD Gaming,Team WE,Sett,Nidalee,Qiyana,Varus,Braum,Ornn,Olaf,Zoe,Aphelios,Leona,1
35,5665-7272,LPL,Team WE,JD Gaming,Gangplank,Qiyana,Zoe,MissFortune,Braum,Mordekaiser,RekSai,Nautilus,Aphelios,Rakan,0
36,5666-7273,LPL,Bilibili Gaming,Royal Never Give Up,Aatrox,Gragas,Lucian,Varus,Braum,Renekton,RekSai,Rumble,MissFortune,Rakan,0
37,5666-7274,LPL,Royal Never Give Up,Bilibili Gaming,Aatrox,LeeSin,Leblanc,MissFortune,Morgana,Gangplank,Gragas,Lissandra,Aphelios,Leona,0
38,5666-7275,LPL,Bilibili Gaming,Royal Never Give Up,Aatrox,Nocturne,Rumble,Senna,Braum,Mordekaiser,RekSai,Sylas,MissFortune,Leona,1
39,5667-7278,LPL,Vici Gaming,Dominus Esports,Aatrox,Qiyana,Rumble,Senna,Braum,Renekton,JarvanIV,Zilean,Aphelios,Leona,0
40,5667-7279,LPL,Vici Gaming,Dominus Esports,Renekton,JarvanIV,Rumble,Lucian,Nautilus,Jax,Qiyana,Cassiopeia,MissFortune,Leona,1
41,5667-7280,LPL,Vici Gaming,Dominus Esports,Kennen,Elise,Lucian,MissFortune,Leona,Camille,Qiyana,Cassiopeia,Aphelios,Nautilus,1
42,5668-7281,LPL,EDward Gaming,Top Esports,Aatrox,LeeSin,Diana,Senna,Leona,Jax,JarvanIV,Zoe,MissFortune,Nautilus,1
43,5668-7282,LPL,Top Esports,EDward Gaming,Mordekaiser,RekSai,Orianna,Senna,Braum,Aatrox,LeeSin,Sylas,Lucian,Leona,1
44,5668-7283,LPL,EDward Gaming,Top Esports,Vladimir,Elise,Pantheon,Aphelios,Nautilus,Ornn,LeeSin,Viktor,Varus,TahmKench,0
45,ESPORTSTMNT01/1270513,LFL,Misfits Premier,IZI Dream,Irelia,Qiyana,Rumble,MissFortune,Leona,Renekton,LeeSin,Cassiopeia,Varus,Nautilus,1
46,ESPORTSTMNT01/1270545,LFL,GameWard,Team MCES,Mordekaiser,Qiyana,Cassiopeia,Senna,TahmKench,Ornn,RekSai,Velkoz,MissFortune,Thresh,1
47,ESPORTSTMNT01/1270566,LFL,Solary,GamersOrigin,Malphite,Gragas,Azir,Senna,Braum,Vladimir,JarvanIV,Lucian,Aphelios,Nautilus,0
48,ESPORTSTMNT01/1270591,LFL,Vitality.Bee,LDLC OL,Rumble,JarvanIV,Cassiopeia,MissFortune,Rakan,Camille,RekSai,Zoe,Varus,Braum,1
49,ESPORTSTMNT01/1280723,LFL,Misfits Premier,GameWard,Kennen,RekSai,Rumble,Senna,TahmKench,Ornn,LeeSin,Sylas,MissFortune,Bard,0
50,ESPORTSTMNT01/1280752,LFL,GamersOrigin,IZI Dream,Gangplank,Qiyana,Cassiopeia,Aphelios,Leona,Mordekaiser,Elise,Orianna,MissFortune,Braum,1
51,ESPORTSTMNT01/1270802,LFL,LDLC OL,Solary,Vladimir,Gragas,Yasuo,MissFortune,Nautilus,Ornn,RekSai,Cassiopeia,Aphelios,Leona,1
52,ESPORTSTMNT01/1270814,LFL,Vitality.Bee,Team MCES,Rumble,Gragas,Ryze,MissFortune,Nautilus,DrMundo,JarvanIV,Cassiopeia,Sivir,Braum,1
53,ESPORTSTMNT05/1390161,LEC,G2 Esports,MAD Lions,Aatrox,Elise,Qiyana,Senna,Nautilus,Ornn,LeeSin,Mordekaiser,Aphelios,Braum,1
54,ESPORTSTMNT05/1390170,LEC,SK Gaming,Team Vitality,Ornn,RekSai,Velkoz,Aphelios,Braum,Aatrox,LeeSin,Cassiopeia,MissFortune,Leona,1
55,ESPORTSTMNT05/1390196,LEC,Rogue,Misfits Gaming,Irelia,Gragas,Qiyana,Aphelios,Braum,Gangplank,JarvanIV,Leblanc,Senna,Nautilus,1
56,ESPORTSTMNT05/1390202,LEC,Excel Esports,FC Schalke 04 Esports,Mordekaiser,Gragas,Yasuo,Varus,Braum,Ornn,JarvanIV,Cassiopeia,Xayah,Nautilus,1
57,ESPORTSTMNT05/1390213,LEC,Fnatic,Origen,Swain,Qiyana,Diana,Aphelios,Braum,Gangplank,Gragas,Leblanc,Xayah,Rakan,0
58,ESPORTSTMNT02/1260525,LCS.A,Evil Geniuses Academy,Dignitas Academy,Kennen,LeeSin,Ornn,Aphelios,Nautilus,Aatrox,Elise,Zoe,MissFortune,Thresh,0
59,ESPORTSTMNT02/1270462,LCS.A,Cloud9 Academy,Team Liquid Academy,Ornn,RekSai,Rumble,Varus,Thresh,Mordekaiser,JarvanIV,Cassiopeia,Aphelios,Leona,1
60,ESPORTSTMNT02/1260533,LCS.A,TSM Academy,Immortals Academy,Aatrox,Gragas,Leblanc,Aphelios,Leona,Urgot,LeeSin,Nautilus,Ezreal,Braum,0
61,ESPORTSTMNT02/1270475,LCS.A,FlyQuest Academy,CLG Academy,Aatrox,Qiyana,Rumble,Kaisa,Thresh,Ornn,JarvanIV,Orianna,MissFortune,Nautilus,1
62,ESPORTSTMNT02/1270478,LCS.A,Golden Guardians Academy,100 Thieves Academy,Aatrox,LeeSin,Ryze,Aphelios,Braum,Camille,RekSai,Leblanc,Senna,TahmKench,1
63,ESPORTSTMNT05/1390233,LEC,Team Vitality,MAD Lions,Rumble,RekSai,Cassiopeia,Varus,Braum,Mordekaiser,JarvanIV,Zoe,MissFortune,Rakan,0
64,ESPORTSTMNT03/1301223,CBLOL,paiN Gaming,Flamengo Esports,Gangplank,RekSai,Rumble,Varus,Braum,Renekton,LeeSin,Sylas,Xayah,Leona,0
65,ESPORTSTMNT05/1390241,LEC,Excel Esports,Rogue,Ornn,Taliyah,Pantheon,Aphelios,Nautilus,Mordekaiser,Olaf,Vladimir,Senna,TahmKench,0
66,ESPORTSTMNT03/1301228,CBLOL,Prodigy Esports,Vivo Keyd,Kennen,Elise,Rumble,MissFortune,Pantheon,Zac,LeeSin,Ryze,Aphelios,Nautilus,1
67,ESPORTSTMNT05/1390249,LEC,Origen,FC Schalke 04 Esports,Gnar,Gragas,Leblanc,Senna,Nautilus,Renekton,Elise,Ryze,Varus,Braum,1
68,ESPORTSTMNT03/1301242,CBLOL,INTZ,Redemption eSports Porto Alegre,Mordekaiser,RekSai,Jayce,Aphelios,Leona,Ornn,Karthus,Renekton,Varus,Nautilus,0
69,ESPORTSTMNT05/1390257,LEC,Fnatic,Misfits Gaming,Aatrox,Gragas,Diana,Aphelios,Braum,Nocturne,LeeSin,Orianna,MissFortune,Leona,1
70,ESPORTSTMNT03/1301251,CBLOL,FURIA Esports,KaBuM! e-Sports,Renekton,JarvanIV,Zoe,Aphelios,Nautilus,Aatrox,Nidalee,Kassadin,Senna,Leona,1
71,ESPORTSTMNT05/1390263,LEC,SK Gaming,G2 Esports,Ornn,JarvanIV,Cassiopeia,MissFortune,Leona,Aatrox,LeeSin,Zoe,Xayah,Rakan,0
72,ESPORTSTMNT02/1270555,LCS,Cloud9,Team Liquid,Aatrox,LeeSin,Veigar,Aphelios,TahmKench,Mordekaiser,JarvanIV,Azir,Senna,Thresh,1
73,ESPORTSTMNT02/1270576,LCS,Counter Logic Gaming,Dignitas,Ornn,RekSai,Cassiopeia,Senna,Leona,Renekton,Elise,Viktor,Ashe,TahmKench,0
74,ESPORTSTMNT02/1270592,LCS,100 Thieves,Golden Guardians,Gangplank,Gragas,Zoe,MissFortune,Leona,Ornn,JarvanIV,Leblanc,Varus,Braum,1
75,ESPORTSTMNT02/1270607,LCS,Immortals,FlyQuest,Aatrox,Trundle,Lucian,Cassiopeia,Thresh,Riven,LeeSin,Viktor,Senna,Blitzcrank,0
76,ESPORTSTMNT02/1270641,LCS.A,Golden Guardians Academy,Cloud9 Academy,Mordekaiser,LeeSin,Viktor,Aphelios,Braum,Ornn,Olaf,Orianna,MissFortune,Zilean,1
77,ESPORTSTMNT03/1301276,CBLOL,Flamengo Esports,Vivo Keyd,Renekton,Elise,Qiyana,Varus,Thresh,Vladimir,Taliyah,Camille,Xayah,Nautilus,1
78,ESPORTSTMNT03/1301284,CBLOL,Prodigy Esports,FURIA Esports,Renekton,Elise,Qiyana,Ezreal,Braum,Gangplank,Gragas,Zoe,Aphelios,Leona,1
79,ESPORTSTMNT03/1301287,CBLOL,Redemption eSports Porto Alegre,KaBuM! e-Sports,Ornn,RekSai,Orianna,Aphelios,Braum,Vladimir,LeeSin,Irelia,MissFortune,Leona,1
80,ESPORTSTMNT03/1301300,CBLOL,INTZ,paiN Gaming,Rumble,Trundle,Cassiopeia,Senna,Braum,Mordekaiser,JarvanIV,Leblanc,Aphelios,Thresh,0
81,ESPORTSTMNT02/1270837,LCS,Dignitas,Evil Geniuses,Gangplank,LeeSin,Orianna,Senna,Braum,Aatrox,Gragas,Azir,Aphelios,TahmKench,1
82,ESPORTSTMNT02/1270857,LCS,Team SoloMid,Immortals,Rumble,LeeSin,Leblanc,Senna,TahmKench,Aatrox,Elise,Zoe,Ezreal,Braum,0
83,ESPORTSTMNT02/1270866,LCS,Golden Guardians,Cloud9,Aatrox,RekSai,Diana,Senna,TahmKench,Camille,LeeSin,Zoe,Aphelios,Nautilus,0
84,ESPORTSTMNT02/1270874,LCS,FlyQuest,Counter Logic Gaming,Aatrox,RekSai,Rumble,Aphelios,Leona,Camille,JarvanIV,Zoe,Senna,Nautilus,1
85,ESPORTSTMNT02/1270886,LCS.A,CLG Academy,Dignitas Academy,Ornn,Elise,Irelia,Draven,Nautilus,Aatrox,Olaf,Sylas,MissFortune,Thresh,0
86,ESPORTSTMNT02/1271051,LCS.A,FlyQuest Academy,Immortals Academy,Aatrox,Elise,Azir,MissFortune,Blitzcrank,Pantheon,JarvanIV,Viktor,Senna,TahmKench,1
87,ESPORTSTMNT02/1271058,LCS.A,Evil Geniuses Academy,100 Thieves Academy,Lucian,LeeSin,Mordekaiser,Xayah,Rakan,Aatrox,Elise,Pantheon,Aphelios,Braum,0
88,ESPORTSTMNT02/1271075,LCS.A,Team Liquid Academy,TSM Academy,Kennen,JarvanIV,Zoe,Aphelios,Nautilus,Aatrox,LeeSin,Cassiopeia,Senna,Braum,0
89,ESPORTSTMNT02/1271091,LCS,Evil Geniuses,100 Thieves,Mordekaiser,LeeSin,Leblanc,Senna,TahmKench,Aatrox,Olaf,Ryze,Xayah,Rakan,1
90,ESPORTSTMNT02/1271104,LCS,Team Liquid,Team SoloMid,Ornn,JarvanIV,Orianna,Xayah,Rakan,Gangplank,Elise,Zilean,MissFortune,Leona,1
91,ESPORTSTMNT02/1271177,LFL,Vitality.Bee,IZI Dream,Aatrox,Qiyana,Zoe,Senna,TahmKench,Cassiopeia,Elise,Tristana,Aphelios,Thresh,1
92,ESPORTSTMNT02/1271201,LFL,LDLC OL,GameWard,Sett,LeeSin,Ryze,Aphelios,Braum,Mordekaiser,JarvanIV,Veigar,MissFortune,Thresh,1
93,ESPORTSTMNT02/1271219,LFL,Team MCES,Solary,Sett,Olaf,Cassiopeia,Lucian,Nautilus,Ornn,Gragas,Viktor,Senna,Alistar,0
94,ESPORTSTMNT02/1261207,LFL,GamersOrigin,Misfits Premier,Camille,Taliyah,Pantheon,Senna,Galio,Vladimir,LeeSin,Nautilus,MissFortune,Braum,0
95,ESPORTSTMNT02/1261226,LFL,IZI Dream,Team MCES,Rumble,JarvanIV,Annie,Lucian,Alistar,Sett,LeeSin,Leblanc,MissFortune,Leona,0
96,ESPORTSTMNT02/1261237,LFL,Vitality.Bee,Misfits Premier,Aatrox,JarvanIV,Orianna,Senna,Braum,Fiora,LeeSin,Leblanc,MissFortune,Nautilus,1
97,ESPORTSTMNT02/1261243,LFL,Solary,GameWard,Sion,Gragas,Orianna,Senna,Bard,Vladimir,Olaf,Rumble,Lucian,Braum,0
98,ESPORTSTMNT02/1271289,LFL,LDLC OL,GamersOrigin,Ornn,LeeSin,Leblanc,MissFortune,Nautilus,Gangplank,JarvanIV,Ryze,Senna,Leona,1
99,ESPORTSTMNT01/1300935,OPL,Avant Gaming,Legacy Esports,Mordekaiser,Olaf,Zoe,Aphelios,Braum,Aatrox,LeeSin,Orianna,MissFortune,Rakan,0
100,ESPORTSTMNT01/1300941,OPL,Gravitas,ORDER,Ornn,Olaf,Qiyana,MissFortune,Zyra,Mordekaiser,LeeSin,Leblanc,Aphelios,Braum,0
101,ESPORTSTMNT01/1300956,OPL,Pentanet.GG,Chiefs Esports Club,Aatrox,Gragas,Ornn,MissFortune,Leona,Diana,LeeSin,Yasuo,Aphelios,Nautilus,0
102,ESPORTSTMNT01/1300964,OPL,MAMMOTH,Dire Wolves,Poppy,Gragas,Leblanc,Senna,Braum,Fiora,JarvanIV,Syndra,MissFortune,Bard,0
103,ESPORTSTMNT02/1271443,VCS,Team Flash,EVOS Esports,Renekton,Sejuani,Irelia,Kaisa,Leona,Mordekaiser,JarvanIV,Ryze,MissFortune,Braum,0
104,ESPORTSTMNT02/1271446,VCS,EVOS Esports,Team Flash,Akali,Kindred,Orianna,Varus,TahmKench,Jayce,JarvanIV,Ryze,Xayah,Blitzcrank,0
105,ESPORTSTMNT02/1271447,VCS,Team Flash,EVOS Esports,Fiora,LeeSin,Ryze,Kaisa,Nautilus,Vladimir,JarvanIV,Cassiopeia,Xayah,Rakan,0
106,ESPORTSTMNT02/1271458,VCS,GAM Esports,CERBERUS Esports,Sett,Qiyana,Cassiopeia,Aphelios,Nautilus,Mordekaiser,JarvanIV,Orianna,Senna,TahmKench,1
107,ESPORTSTMNT02/1271463,VCS,CERBERUS Esports,GAM Esports,Sett,JarvanIV,Cassiopeia,Senna,TahmKench,Renekton,Shyvana,Tristana,Varus,Braum,0
108,ESPORTSTMNT04/1120126,LEC,Origen,Rogue,Aatrox,Gragas,Tristana,Syndra,Nautilus,Sett,Olaf,Azir,MissFortune,Leona,1
109,ESPORTSTMNT04/1120145,LEC,SK Gaming,Misfits Gaming,Ornn,JarvanIV,Zoe,MissFortune,Rakan,Sett,Gragas,Qiyana,Xayah,Braum,0
110,ESPORTSTMNT04/1120150,LEC,Team Vitality,G2 Esports,Ornn,Gragas,Yasuo,Senna,Braum,Soraka,Elise,Lucian,Aphelios,Thresh,0
111,ESPORTSTMNT04/1120155,LEC,Excel Esports,MAD Lions,Gangplank,Gragas,Pantheon,Xayah,Rakan,Ornn,Elise,Ryze,Aphelios,Nautilus,1
112,ESPORTSTMNT04/1120173,LEC,FC Schalke 04 Esports,Fnatic,Aatrox,JarvanIV,Leblanc,Senna,Braum,Sett,Gragas,Cassiopeia,MissFortune,Thresh,0
113,ESPORTSTMNT01/1291177,LCS.A,CLG Academy,100 Thieves Academy,Vladimir,JarvanIV,Lucian,MissFortune,Braum,Ornn,LeeSin,Orianna,Aphelios,Lulu,0
114,ESPORTSTMNT01/1291178,LCS.A,Cloud9 Academy,FlyQuest Academy,Ornn,XinZhao,Syndra,Aphelios,Nautilus,Mordekaiser,LeeSin,Leblanc,MissFortune,Thresh,1
115,ESPORTSTMNT01/1301108,LCS.A,Dignitas Academy,Team Liquid Academy,Sett,Olaf,Rumble,Senna,TahmKench,Kennen,LeeSin,Viktor,Varus,Nautilus,1
116,ESPORTSTMNT01/1291187,LCS.A,Immortals Academy,Golden Guardians Academy,Pantheon,LeeSin,Syndra,Xayah,Rakan,Sett,JarvanIV,Orianna,Soraka,Senna,1
117,ESPORTSTMNT01/1291192,LCS.A,Evil Geniuses Academy,TSM Academy,Ornn,Elise,Pantheon,Senna,TahmKench,Aatrox,LeeSin,Orianna,Aphelios,Braum,1
118,ESPORTSTMNT01/1301128,OPL,ORDER,Legacy Esports,Aatrox,Olaf,Orianna,Xayah,Rakan,Ornn,LeeSin,Leblanc,Senna,Nautilus,0
119,ESPORTSTMNT01/1301159,OPL,Gravitas,MAMMOTH,Mordekaiser,Ekko,Renekton,Senna,Braum,Camille,Elise,Sett,Aphelios,Nautilus,1
120,ESPORTSTMNT01/1301169,OPL,Dire Wolves,Pentanet.GG,Aatrox,LeeSin,Akali,MissFortune,Nautilus,Mordekaiser,RekSai,Veigar,Aphelios,Leona,0
121,ESPORTSTMNT01/1301183,OPL,Chiefs Esports Club,Avant Gaming,Sett,Elise,Rumble,MissFortune,Thresh,Ornn,RekSai,Zilean,Aphelios,Leona,1
122,ESPORTSTMNT02/1271494,VCS,V Gaming Adonis,Saigon Buffalo,Ornn,LeeSin,Lucian,Aphelios,Braum,Mordekaiser,RekSai,Orianna,MissFortune,Leona,1
123,ESPORTSTMNT04/1130153,TCL,Royal Youth,Papara SuperMassive,Ornn,JarvanIV,Cassiopeia,Aphelios,Nautilus,Aatrox,Sejuani,Rumble,Varus,Leona,0
124,ESPORTSTMNT02/1271495,VCS,Saigon Buffalo,V Gaming Adonis,Camille,Elise,Zoe,Aphelios,Leona,Aatrox,RekSai,Cassiopeia,MissFortune,Braum,1
125,ESPORTSTMNT02/1271497,VCS,V Gaming Adonis,Saigon Buffalo,Aatrox,Elise,Ryze,Xayah,Leona,Fiora,LeeSin,Rumble,MissFortune,Nautilus,1
126,ESPORTSTMNT04/1130166,TCL,Dark Passage,İstanbul Wildcats,Gangplank,RekSai,Zoe,Aphelios,Rakan,Mordekaiser,Sylas,Fiora,MissFortune,Braum,1
127,ESPORTSTMNT04/1130177,TCL,1907 Fenerbahçe Esports,5 Ronin,Sett,Gragas,Yasuo,Varus,Braum,Aatrox,JarvanIV,Syndra,MissFortune,Thresh,1
128,ESPORTSTMNT02/1271500,VCS,Lowkey Esports.Vietnam,FTV Esports,Aatrox,Olaf,Ryze,Aphelios,Braum,Camille,Elise,Irelia,Kaisa,Leona,1
129,ESPORTSTMNT02/1271505,VCS,FTV Esports,Lowkey Esports.Vietnam,Poppy,Elise,Gangplank,Lucian,Braum,Camille,Olaf,Orianna,MissFortune,Leona,0
130,ESPORTSTMNT04/1130182,TCL,Beşiktaş Esports,Galakticos,Hecarim,LeeSin,Rumble,Aphelios,Maokai,Aatrox,JarvanIV,Cassiopeia,MissFortune,Leona,0
131,ESPORTSTMNT04/1130193,LEC,Excel Esports,Misfits Gaming,Sett,JarvanIV,Morgana,Xayah,Rakan,Gangplank,LeeSin,Leblanc,Aphelios,TahmKench,0
132,ESPORTSTMNT01/1301262,CBLOL,Redemption eSports Porto Alegre,FURIA Esports,Rumble,LeeSin,Syndra,Aphelios,Braum,Renekton,Elise,Vladimir,Senna,Nautilus,0
133,ESPORTSTMNT04/1130196,LEC,FC Schalke 04 Esports,MAD Lions,Aatrox,Gragas,Leblanc,Senna,Braum,Rumble,Elise,Qiyana,MissFortune,Rakan,0
134,ESPORTSTMNT01/1301270,CBLOL,KaBuM! e-Sports,INTZ,Renekton,Taliyah,Mordekaiser,Senna,Alistar,Ornn,Gragas,Tristana,Aphelios,Leona,0
135,ESPORTSTMNT04/1130201,LEC,Rogue,Team Vitality,Ornn,JarvanIV,Azir,Senna,Braum,Camille,Elise,Pantheon,Ezreal,Rakan,1
136,ESPORTSTMNT01/1301290,CBLOL,Vivo Keyd,paiN Gaming,Sett,Poppy,Leblanc,Varus,Braum,Renekton,JarvanIV,Lissandra,Aphelios,Leona,1
137,ESPORTSTMNT04/1130210,LEC,SK Gaming,Fnatic,Gangplank,Taliyah,Pantheon,MissFortune,Braum,Rengar,Elise,Ornn,Senna,Nautilus,0
138,ESPORTSTMNT01/1301305,CBLOL,Flamengo Esports,Prodigy Esports,Sett,LeeSin,Ekko,Varus,Leona,Aatrox,JarvanIV,Syndra,Aphelios,Pantheon,1
139,ESPORTSTMNT04/1130221,LEC,G2 Esports,Origen,Soraka,LeeSin,Leblanc,Senna,Thresh,Rumble,RekSai,Sylas,Xayah,Rakan,1
140,ESPORTSTMNT01/1291406,LCS,Counter Logic Gaming,100 Thieves,Kayle,RekSai,Lucian,Aphelios,Leona,Sett,JarvanIV,Zoe,Xayah,Rakan,0
141,ESPORTSTMNT01/1291426,LCS,Dignitas,Team Liquid,Gangplank,JarvanIV,Orianna,Aphelios,Thresh,Aatrox,LeeSin,Ryze,Senna,Nautilus,1
142,ESPORTSTMNT01/1291442,LCS,Cloud9,Immortals,Gangplank,Elise,Pantheon,Senna,TahmKench,Karma,Gragas,Yasuo,Cassiopeia,Thresh,1
143,ESPORTSTMNT01/1291458,LCS,Evil Geniuses,Golden Guardians,Aatrox,RekSai,Orianna,Sona,TahmKench,Fiora,LeeSin,Syndra,Aphelios,Nautilus,0
144,ESPORTSTMNT01/1291470,LCS.A,Cloud9 Academy,Immortals Academy,Sett,Gragas,Yasuo,Aphelios,Nautilus,Nocturne,LeeSin,Kled,Syndra,Leona,0
145,ESPORTSTMNT02/1261474,VCS,Saigon Buffalo,Lowkey Esports.Vietnam,Akali,LeeSin,Cassiopeia,Varus,Braum,Sett,RekSai,Leblanc,Senna,TahmKench,1
146,ESPORTSTMNT04/1130229,TCL,5 Ronin,Dark Passage,Aatrox,Gragas,Lucian,Varus,Rakan,Mordekaiser,RekSai,Qiyana,Aphelios,Thresh,0
147,ESPORTSTMNT02/1261475,VCS,Lowkey Esports.Vietnam,Saigon Buffalo,Gangplank,Gragas,Viktor,Aphelios,Thresh,Renekton,Elise,Irelia,Senna,Braum,0
148,ESPORTSTMNT04/1130243,TCL,Royal Youth,İstanbul Wildcats,Sett,JarvanIV,Rumble,MissFortune,Leona,Aatrox,LeeSin,Leblanc,Aphelios,Braum,1
149,ESPORTSTMNT02/1261482,VCS,FTV Esports,Team Flash,Akali,Khazix,Aatrox,Senna,TahmKench,Fiora,Nidalee,Ryze,Xayah,Blitzcrank,0
